"date_of_meeting"	"type_of_meeting"	"scanned_minutes_file"	"scanned_minutes_page"	"case_ids"	"text"	"year"	"month"	"day"
"76"	1944-08-24	"open"	"19440824_67.pdf"	5	"578-1944"	"Tillægsbevillinger paa 122.277 Kr. paa Forsørgelsesvæsenets Konti for 1943- 44. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"77"	1944-08-24	"open"	"19440824_67.pdf"	5	"32-1944"	"Efterbevilling af Overskridelser i Sundhedskommissionens Regnskab. - 2. Behandling.
Efterbevilling meddeltes.
"	1944	8	24
"78"	1944-08-24	"open"	"19440824_67.pdf"	6	"619-1944"	"Overførelse til 1944-45 af Bevilling til Arkitektkonkurrence ved Bebyggelsen af Museumsgrunden. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"79"	1944-08-24	"open"	"19440824_67.pdf"	6	"620-1944"	"Indstilling om Overførsel til Driftsregnskabet af Udgifter, der forskudsvis er afholdt af Kassebeholdningen. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"80"	1944-08-24	"open"	"19440824_67.pdf"	6	"621-1944"	"Indstilling om, at det budgetterede Beløb paa 120.000 Kr. til Klubhus ved Dalgas Avenue overføres til en særlig Fond. -
2.Behandling.
Indstillingen vedtoges.
"	1944	8	24
"81"	1944-08-24	"open"	"19440824_67.pdf"	6	"622-1944"	"Indstilling om Bevilling til Anlæg af Bøgebjergvej og en Del af Egebæksvej. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"82"	1944-08-24	"open"	"19440824_67.pdf"	6	"623-1944"	"Indstilling om Bevilling til Landsforeningen for Sukkersyge. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"83"	1944-08-24	"open"	"19440824_67.pdf"	6	"641-1944"	"Bevilling tilen Støtteforening for Aarhus permanente Udstilling. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"84"	1944-08-24	"open"	"19440824_67.pdf"	6	"716-1941"	"Indstillingom Bevilling af
5.000Kr. ttl sønderjydske Børns Ophold i Aarhus. - 2. Behandling.
(1. Behandling afgjort ved Cirkulation).
Indstillingen vedtoges.
"	1944	8	24
"85"	1944-08-24	"open"	"19440824_67.pdf"	6	"617-1944"	"Indstillingom Bevilling af
425Kr.til Ferieophold for Børn fra Sct. Lukas Sogns Menighedsbørnehave. - 2. Behandling.
(1. Behandling afgjort ved Cirkulation).
Indstillingen vedtoges.
"	1944	8	24
"86"	1944-08-24	"open"	"19440824_67.pdf"	7	"529-1944"	"Indstilling omBevillingaf
600 Kr. til Trøjborg Folkebørnehaves Feriekoloni. - 2. Behandling.
(1. Behandling afgjort ved Cirkulation).
Indstillingen vedtoges.
"	1944	8	24
"87"	1944-08-24	"open"	"19440824_67.pdf"	7	"646-1944"	"Indstilling omBevillingaf
145 Kr.til Børnehjemmet Granlys Sommerlejr.-
2.Behandling.
(1. Behandling afgjort ved Cirkulation).
Indstillingen vedtoges.
"	1944	8	24
"88"	1944-08-24	"open"	"19440824_67.pdf"	7	"817-1944"	"Indstilling fraBelysningsudvalget om, at der paa Arbejdsplanen stilles 125.000Kr. til Raadighed til Elektricitetsværkets Udvidelser.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"89"	1944-08-24	"open"	"19440824_67.pdf"	7	"710-1944"	"Indstilling fra Belysningsudvalget om Bevilling af 100.000 Kr. til Indkøb af Varmemaalere og Udførelse af Tilslutningsarbejder af det paa Arbejdsplanen afsatte Beløb til Fjernvarmeanlæget.
Tiltraadt af Budgetudvalget saaledes, at Bevillingen kun gives indenfor Regnskabsaaret 1944 -45, saa Overførsel af en eventuel Restbevilling ikke vil kunne finde Sted.
Overgik til 2. Behandling.
"	1944	8	24
"90"	1944-08-24	"open"	"19440824_67.pdf"	7	"761-1944"	"Indstilling fra Belysningsudvalget om Nedsættelse af Gasprisen.
Udvalget indstiller, at Gasprisen nedsættes fra 26 Øre til 23 Øre pr. m3, og at den derved fremkomne Mindreindtægt afholdes paa Regnskabsaaret for 1943-44 saaledes, at Beløbet overføres til Belysningsvæsenets Dispositionsfond, hvorfra det overføres til Regnskabet for 1944-45.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"91"	1944-08-24	"open"	"19440824_67.pdf"	8	"711-1944"	"Indstilling fra Belysningsudvalget om, at der af det til Etablering af 60 kW Linien Høskoven-Tousgaard bevilgede Beløb stilles 3.500 Kr. til Raadighed paa Arbejdsplanen.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"92"	1944-08-24	"open"	"19440824_67.pdf"	8	"815-1944"	"Andragende fra Sundhedskommissionen om Bevilling paa 19.880 Kr. til Indretning af Levnedsmiddelkontrollens nye Laboratorium.
Anbefalet af Budgetudvalget.
Borgmesteren oplyste, at Laboratoriet skal flyttes fra Belysningsvæsenets Administrationsbygning til den ny Bygning paa Slagtehuset, og Belysningsvæsenet ønskede at beholde det nuværende Inventar, som det tidligere havde anskaffet.
Overgik til 2. Behandling.
"	1944	8	24
"93"	1944-08-24	"open"	"19440824_67.pdf"	8	"714-1944"	"Indstilling fra Budgetudvalget om Tillægsbevilling paa 1.555 Kr. til Lejeafgift af Husvildeafdelingen i Havnens Administrationsbygning.
Overgik til 2. Behandling.
"	1944	8	24
"94"	1944-08-24	"open"	"19440824_67.pdf"	8	"3_11-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Efterbevilling af forskellige Udgifter vedrørende Indkvartering af Husvilde.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"95"	1944-08-24	"open"	"19440824_67.pdf"	8	"715-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Indretning af Husvildeboliger i Volden 32 og om Tillægsbevilling paa 6.500 Kr. hertil.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"96"	1944-08-24	"open"	"19440824_67.pdf"	9	"595-1944"	"Indstilling fra Socialudvalget om Tillægsbevilling paa 3.286,60 Kr. til Anskaffelse af Værktøj m. m. til L. A. B.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"97"	1944-08-24	"open"	"19440824_67.pdf"	9	"3_12-1944"	"Indstilling fra Markudvalget om Efterbevilling af en Overskridelse i Regnskabet vedrørende Anlæg af Kolonihaver m. in.
Overgik til 2. Behandling.
"	1944	8	24
"98"	1944-08-24	"open"	"19440824_67.pdf"	9	"3_15-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Efterbevilling af Overskridelse vedrørende Konkurrencen om en Bebyggelsesplan for et Areal ved Botanisk Have.
Overgik til 2. Behandling.
"	1944	8	24
"99"	1944-08-24	"open"	"19440824_67.pdf"	9	"3_16-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Efterbevilling af Overskridelse vedrørende Vejanlæg mellem Silkeborgvej og Vestre Kirkegaard.
Overgik til 2. Behandling.
"	1944	8	24
"100"	1944-08-24	"open"	"19440824_67.pdf"	9	"317-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Efterbevilling af Overskridelse vedrørende Anlæg af Gustav Wieds Vej.
Overgik til 2. Behandling.
"	1944	8	24
"101"	1944-08-24	"open"	"19440824_67.pdf"	9	"320-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Efterbevilling af Overskridelse vedrørende Reguleringsarbejder, Gadeanlæg m. m.
Overgik til 2. Behandling.
"	1944	8	24
"102"	1944-08-24	"open"	"19440824_67.pdf"	9	"3_8-1944 og 3_7-1944 og 3_19-1944 og 3_9-1944 og 3_3-1944 og 3_10-1944 og 3_5-1944 og 3_4-1944 og 3_22-1944 og 3_18-1944 og 3_14-1944 og 3_21-1944"	"Efterbevilling af Overskridelser i Regnskabet for:
a.(J. Nr. 3_8-1944). Børnebibliotekerne.
b.(J. Nr. 3_7-1944). Folkebibliotekerne.
c.(J. Nr. 3_19-1944). Skolevæsenet.
d.(J. Nr. 3_9-1944). Kommunehospitalet.
e.(J. Nr. 3_3-1944). Marselisborg Hospital.
"	1944	8	24
"103"	1944-08-24	"open"	"19440824_67.pdf"	10	"3_8-1944 og 3_7-1944 og 3_19-1944 og 3_9-1944 og 3_3-1944 og 3_10-1944 og 3_5-1944 og 3_4-1944 og 3_22-1944 og 3_18-1944 og 3_14-1944 og 3_21-1944"	"f.(J. Nr. 3_10-1944). Tuberkulosestationen.
g.(J. Nr. 3_5-1944). Indkvarteringsvæsenet.
h.(J. Nr. 3_4-1944). Vejvæsenet.
i.(J.Nr.3_22-1944).Hovedbogholderikontoret.
j.(J.Nr.3_18-1944).Boligkommissionen.
k.(J.Nr.3_14-1944).Husvildeafdelingerne.
I.(J.Nr.3_21-1944).Raadhuset.
Overgik til 2. Behandling.
"	1944	8	24
"104"	1944-08-24	"open"	"19440824_67.pdf"	10	"345-1944"	"Andragende fra Dansk Forening til Kønssygdommenes Bekæmpelse om Tilskud.
Budgetudvalget foreslaar at yde 1.000 Kr. Overgik til 2. Behandling.
"	1944	8	24
"105"	1944-08-24	"open"	"19440824_67.pdf"	10	"614-1944"	"Skrivelse fra Indenrigsministeriets Konsulenter i Rottesager angaaende Foranstaltninger til Udryddelse af Rotter.
Belysningsudvalget indstiller, at der med passende Mellemrum meddeles Grundejerne Oplysning om det fulde Omfang af deres Pligter, samt at der en Gang aarlig foretages Kontroleftersyn af samtlige Ejendomme, hvilke Foranstaltninger skønsmæssig anslaas at ville medføre en Udgift paa 7-8.000 Kr. aarlig.
Tiltraadt af Budgetudvalget saaledes, at der for indeværende Aar gives Tillægsbevilling hertil paa 8.000 Kr.
Overgik til 2. Behandling.
"	1944	8	24
"106"	1944-08-24	"open"	"19440824_67.pdf"	10	"816-1944"	"Andragende fra kommunale Tjenestemænd om Forhøjelse af Tilskud til Kursus ved Den jydske Handelshøjskoles Specialstudier i Regnskabsvæsen.
Fra Økonomidirektøren forelaa Forslag om, at Tilskudet forhøjes til 900 Kr. pr. Deltager for hele Kursuset, som udbetales med 150 Kr. aarlig de to første Aar og 300 Kr. aarlig de to sidste Aar. Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"107"	1944-08-24	"open"	"19440824_67.pdf"	11	"773-1944"	"Indstilling om Tillægsbevilling paa 8,50 Kr. til Udgivelse af Medicinalberetningen.
Overgik til 2. Behandling.
"	1944	8	24
"108"	1944-08-24	"open"	"19440824_67.pdf"	11	"230-1944"	"Indstilling om Bevilling af
11.500Kr. til Fortsættelse af Beskæftigelsesarbejde for erhvervshæmmede Personer.
Overgik til 2. Behandling.
"	1944	8	24
"109"	1944-08-24	"open"	"19440824_67.pdf"	11	"788-1944"	"Indstilling fra Observatorieudvalget om Bevilling af 10.000 Kr. til en Mindefest for Ole Rømer.
Tiltraadt af Budgetudvalget.
Overgik til 2. Behandling.
"	1944	8	24
"110"	1944-08-24	"open"	"19440824_67.pdf"	11	"754-1944"	"Indstilling fra Udvalget for Byens Udvidelse og Bebyggelse om Bevilling af
2.500Kr. til Ombygning af en Trappe i Mejlgade 59.
Fra Budgetudvalget forelaa følgende Erklæring:
\"Mod Udvalgets Indstilling vides intet at erindre, idet man dog skal henstille, at der saavidt mulig opnaas en Forlængelse af Lejekontrakten med Eddikebryggeriet for en længere Aarrække, saaledes at Kommunen med sædvanligt Varsel kan opsige Lejemaalet i Tilfælde af, at Ejendommen skal nedrives som Følge af Gadeudvidelse eller lignende.\"
Overgik til 2. Behandling.
"	1944	8	24
"111"	1944-08-24	"open"	"19440824_67.pdf"	11	"460-1944"	"Indstilling om Bevilling af et Beløb til Beredskabsprojektering i H t Indenrigsministeriets Cirkulære af 26. April 1944.
Fra Stadsarkitekten forelaa Forslag om Fordeling af Statstilskudet mellem de forskellige Projekter samt Forslag om, at man meddeler Indenrigsministeriet, at Statstilskudet er opbrugt,
"	1944	8	24
"112"	1944-08-24	"open"	"19440824_67.pdf"	12	"460-1944"	"og anmoder om endnu et Beløb af omtrent samme Størrelse, saaledes at der ialt kan ydes Tilskud til Projektering af ca. 500 Lejligheder.
Tiltraadt af Udvalget for Byens Udvidelse og Bebyggelse.
Indstillingen vedtoges.
"	1944	8	24
"113"	1944-08-24	"open"	"19440824_67.pdf"	12	"389-1944"	"Forespørgsel fra Det sociale Boligbyggeri om Byraadet vil frafalde Bestemmelsen om Kommunens Ret til at overtage Selskabets Ejendomme Aar 1970.
Udvalget for Byens Udvidelse og Bebyggelse indstiller, at Kommunen frafalder Bestemmelsen.
I. C. Sørensen anmodede om at faa Sagen udsat.
Sagen gik tilbage til Udvalget.
"	1944	8	24
"114"	1944-08-24	"open"	"19440824_67.pdf"	12	"30_3-1944"	"Andragende fra Chauffør Otto F. Nielsen om Koncession paa Fragtmandskørsel paa Ruten Aarhus-Lyngaa.
Anbefalet af Vejteknisk Udvalg paa sædvanlige Betingelser.
Indstillingen vedtoges.
"	1944	8	24
"115"	1944-08-24	"open"	"19440824_67.pdf"	12	"687-1944"	"Andragende fra Aarhus Handelsstandsforenings Handelsskole om Tilladelse til at benytte Lokaler i Paradisgades og Frederiksallés Skoler.
Anbefalet af Skoleudvalget.
Bevilgedes.
"	1944	8	24
"116"	1944-08-24	"open"	"19440824_67.pdf"	12	"686-1944"	"Andragende fra Fru Marie Poulsen om Erstatning for Tilskadekomst paa Raadhuset.
Budgetudvalget kan ikke anbefale Andragendet.
Kunde ikke bevilges.
"	1944	8	24
"117"	1944-08-24	"open"	"19440824_67.pdf"	12	"11_13-1944"	"Betinget Skøde med Snedker Carl J. Sørensen angaaende en Grund ved Stockholmsgade.
Godkendtes.
"	1944	8	24
"118"	1944-08-24	"open"	"19440824_67.pdf"	13	"11_11-1944"	"Betinget Skøde med Tømrermester Rønnest Nielsen angaaende en Grund ved Finlandsgade.
Godkendtes.
"	1944	8	24
"119"	1944-08-24	"open"	"19440824_67.pdf"	13	"22_12-1944"	"Betinget Skøde med Automobilforhandlerne M. M. Hansen og M. P. Hansen angaaende en Grund paa Hjørnet af Museumsgade, Thorvaldsensgade og Vestergade.
Godkendtes.
"	1944	8	24
"120"	1944-08-24	"open"	"19440824_67.pdf"	13	"11_9-1944"	"Betinget Skøde med Tømrermester Kirk Mikkelsen angaaende en Grund ved Finlandsgade.
Godkendtes.
"	1944	8	24
"121"	1944-08-24	"open"	"19440824_67.pdf"	13	"11_12-1944"	"Købekontrakt med Fru M. K. Oehlerich angaaende en Grund ved Nordvestpassagen.
Godkendtes.
"	1944	8	24
"122"	1944-08-24	"open"	"19440824_67.pdf"	13	"22_15-1944"	"Købekontrakt med Civilingeniør J. N. Marcussen angaaende en Grund ved Jyllandsallé.
Godkendtes.
"	1944	8	24
"123"	1944-08-24	"open"	"19440824_67.pdf"	13	"22_15-1944"	"Købekontrakt med Arkitekt Salling Mortensen angaaende en Grund ved Jyllandsallé.
Godkendtes.
"	1944	8	24
"124"	1944-08-24	"open"	"19440824_67.pdf"	13	"11_10-1944"	"Købekontrakt med Viggo Nielsen angaaende en Grund ved Ndr. Ringgade.
Godkendtes.
"	1944	8	24
"125"	1944-08-24	"open"	"19440824_67.pdf"	13	"22_16-1944"	"Købekontrakt med Tømrermester P. B. Kjeldsen angaaende en Grund Nordborggade 12.
Godkendtes.
"	1944	8	24
"126"	1944-08-24	"open"	"19440824_67.pdf"	13	"22_13-1944"	"Købekontrakt med Tømrermester P. B. Kjeldsen angaaende en Grund Nordborggade 6.
Godkendtes.
"	1944	8	24
"127"	1944-08-24	"open"	"19440824_67.pdf"	14	"22_22-1944"	"Købekontrakt med Murermester Har. Andersen angaaende en Grund Nordborggade 14.
Godkendtes.
"	1944	8	24
"128"	1944-08-24	"open"	"19440824_67.pdf"	14	"22_23-1944"	"Købekontrakt med Murermester M. Laugesen angaaende en Grund Nordborggade 10.
Godkendtes.
"	1944	8	24
"129"	1944-08-24	"open"	"19440824_67.pdf"	14	"22_24-1944"	"Købekontrakt med Murermester M. Laugesen angaaende en Grund Nordborggade 8.
Godkendtes.
"	1944	8	24
"130"	1944-08-24	"open"	"19440824_67.pdf"	14	"667-1944"	"Godkendelse af Fundatser for to af Aarhus Stiftsbogtrykkeri oprettede Legater.
Anbefalet af Legatudvalget.
Tiltraadt ved Cirkulation.
"	1944	8	24
"131"	1944-08-24	"open"	"19440824_67.pdf"	14	"456-1944"	"Andragende fra Aarhus Akademi, Thunøgade 2 A, om Fritagelse for kommunal Grund- og Ejendomsskyld.
Anbefalet af Budgetudvalget fra 1. April 1944 indtil videre.
Vedtaget ved Cirkulation.
"	1944	8	24
"132"	1944-08-24	"open"	"19440824_67.pdf"	14	"704-1944"	"Andragende fra K. F. U. K., Christiansgade 30, om Fritagelse for Kommuneskat i samme Omfang som for Statsskattens Vedkommende.
Anbefalet af Budgetudvalget.
Vedtaget ved Cirkulation.
"	1944	8	24
"133"	1944-08-24	"open"	"19440824_67.pdf"	14	"703-1944"	"Andragende fra Aarhus Oliefabriks Arbejderes Stiftelse om Fritagelse for Kommuneskat for 1943-44.
Anbefalet af Budgetudvalget.
Vedtaget ved Cirkulation.
"	1944	8	24
"134"	1944-08-24	"open"	"19440824_67.pdf"	14	"592-1944"	"Andragende fra  
"	1944	8	24
"135"	1944-08-24	"open"	"19440824_67.pdf"	15	"592-1944"	"Frimurerstiftelsen om Fritagelse for kommunale Ejendomsskatter af Stiftelsens Friboliger.
Anbefalet af Budgetudvalget fra 1/4 1944.
Indstillingen vedtoges.
"	1944	8	24
"136"	1944-08-24	"open"	"19440824_67.pdf"	15	"818-1944"	"Indstilling om, at Udvalget for Byens Udvidelse og Bebyggelse bemyndiges til at træffe Afgørelse i H, t. Lejelovene vedrørende forskellige Lejeforhold.
Indstillingen vedtoges.
"	1944	8	24
"137"	1944-08-24	"open"	"19440824_67.pdf"	15	"828-1944"	"Indstilling fra Brandkommissionen om Bevilling af 5.000 Kr. til Projektering af Anlæg af Branddamme m. v.
Borgmesteren meddelte, at Sagen ikke var behandlet i Budgetudvalget, men hvis man skulde have Nytte deraf, hastede det temmelig stærkt, hvorfor Taleren vilde anbefale, at Sagen afgøres nu.
I.C. Sørensen spurgte, hvor disse Damme skulde ligge.
Borgmesteren svarede, at det væsentlig skulde være en Udvidelse af de nuværende Søer, men der vilde senere komme nærmere Forslag derom.
Johanne Berg kunde paa Gruppens Vegne tiltræde Forslaget.
I.C. Sørensen ligeledes.
Indstillingen vedtoges.
"	1944	8	24
